time,lacI,Plac_lacI,mRNA,Plac
10.0,1.95,0.35,3.5,0.65
20.0,9.136364,0.59090906,4.0,0.4090909
30.0,17.692308,0.5,4.0,0.5
40.0,26.05,0.5,4.0,0.5
50.0,32.63158,0.5263158,4.0,0.47368422
60.0,39.923077,0.61538464,4.0,0.3846154
70.0,42.785713,0.2857143,3.0,0.71428573
80.0,45.615383,0.3846154,3.0,0.61538464
90.0,50.357143,0.5714286,2.9285715,0.42857143
100.0,56.533333,0.33333334,2.0,0.6666667
110.0,58.454544,0.36363637,2.0,0.6363636
120.0,61.75,0.5,1.8333334,0.5
130.0,63.5,0.375,1.0,0.625
140.0,65.55556,0.22222222,1.0,0.7777778
150.0,67.22222,0.11111111,1.0,0.8888889
160.0,69.0,0.09090909,1.0,0.90909094
170.0,69.23077,0.15384616,1.0,0.84615386
180.0,67.818184,0.27272728,1.0,0.72727275
190.0,68.5,0.625,1.0,0.375
200.0,68.42857,0.35714287,1.0,0.64285713
210.0,71.083336,0.41666666,0.75,0.5833333
220.0,72.0,0.0,0.0,1.0
230.0,71.888885,0.11111111,0.0,0.8888889
240.0,71.75,0.083333336,0.0,0.9166667
250.0,71.0,0.0,0.0,1.0
260.0,70.46667,0.13333334,0.0,0.8666667
270.0,68.72727,0.09090909,0.0,0.90909094
280.0,68.0,0.0,0.0,1.0
290.0,67.833336,0.16666667,0.0,0.8333333
300.0,65.4,0.4,0.0,0.6
310.0,65.0,0.0,0.0,1.0
320.0,65.0,0.0,0.0,1.0
330.0,63.933334,0.2,0.0,0.8
340.0,63.5,0.125,0.0,0.875
350.0,63.0,0.0,0.0,1.0
360.0,63.0,0.0,0.0,1.0
370.0,63.0,0.0,0.0,1.0
380.0,63.0,0.0,0.0,1.0
390.0,62.875,0.125,0.0,0.875
400.0,62.333332,0.11111111,0.0,0.8888889
410.0,62.0,0.0,0.0,1.0
420.0,62.0,0.0,0.0,1.0
430.0,60.636364,0.18181819,0.0,0.8181818
440.0,60.0,0.0,0.0,1.0
450.0,57.833332,0.5,0.0,0.5
460.0,58.0,0.0,0.0,1.0
470.0,57.875,0.125,0.0,0.875
480.0,57.0,0.16666667,0.0,0.8333333
490.0,57.0,0.0,0.0,1.0
500.0,56.857143,0.14285715,0.0,0.85714287
510.0,56.923077,0.07692308,0.0,0.9230769
520.0,57.0,0.0,0.0,1.0
530.0,57.0,0.0,0.0,1.0
540.0,56.833332,0.16666667,0.0,0.8333333
550.0,57.0,0.0,0.0,1.0
560.0,57.0,0.0,0.0,1.0
570.0,57.0,0.0,0.0,1.0
580.0,57.0,0.0,0.0,1.0
590.0,56.0,0.11764706,0.0,0.88235295
600.0,55.625,0.125,0.0,0.875
610.0,54.75,0.25,0.0,0.75
620.0,54.375,0.25,0.0,0.75
630.0,53.923077,0.07692308,0.0,0.9230769
640.0,53.0,0.0,0.0,1.0
650.0,52.125,0.125,0.0,0.875
660.0,51.555557,0.11111111,0.0,0.8888889
670.0,51.0,0.0,0.0,1.0
680.0,50.666668,0.22222222,0.0,0.7777778
690.0,48.846153,0.15384616,0.0,0.84615386
700.0,48.3,0.1,0.0,0.9
710.0,48.0,0.0,0.0,1.0
720.0,48.0,0.0,0.0,1.0
730.0,46.8,0.4,0.0,0.6
740.0,46.57143,0.42857143,0.0,0.5714286
750.0,45.75,0.375,0.0,0.625
760.0,45.0,0.33333334,0.0,0.6666667
770.0,45.0,0.0,0.0,1.0
780.0,44.88889,0.11111111,0.0,0.8888889
790.0,43.583332,0.16666667,0.0,0.8333333
800.0,42.53846,0.15384616,0.0,0.84615386
810.0,42.0,0.0,0.0,1.0
820.0,41.88889,0.11111111,0.0,0.8888889
830.0,41.8,0.2,0.0,0.8
840.0,41.75,0.25,0.0,0.75
850.0,40.8,0.2,0.0,0.8
860.0,39.875,0.25,0.0,0.75
870.0,39.75,0.25,0.0,0.75
880.0,40.0,0.0,0.0,1.0
890.0,39.833332,0.16666667,0.0,0.8333333
900.0,39.727272,0.18181819,0.0,0.8181818
910.0,38.0,0.0,0.0,1.0
920.0,37.8,0.2,0.0,0.8
930.0,37.0625,0.125,0.0,0.875
940.0,36.857143,0.14285715,0.0,0.85714287
950.0,36.666668,0.26666668,0.0,0.73333335
960.0,35.833332,0.16666667,0.0,0.8333333
